,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
295,qaqortoq,100,GL,1584842872,67,23.0,60.72,-46.03,50.55
296,gangarampur,0,IN,1584842872,31,80.89,25.4,88.52,11.07
297,wamba,0,NG,1584842872,58,76.03,8.93,8.6,3.27
298,berlevag,100,NO,1584842872,81,39.13,70.86,29.09,32.3
299,san quintin,100,MX,1584842873,72,58.93,30.48,-115.95,11.23
300,mecca,0,SA,1584842829,51,62.17,21.43,39.83,5.23
301,rafraf,75,TN,1584842873,82,59.0,37.19,10.18,12.75
302,la palma,90,US,1584842873,59,62.6,33.85,-118.05,6.93
303,darnah,100,LY,1584842873,66,60.73,32.77,22.64,16.64
304,klaeng,0,TH,1584842707,84,90.0,12.78,101.65,7.2
305,santo antonio do ica,60,BR,1584842873,95,74.23,-3.1,-67.94,1.57
306,grand gaube,20,MU,1584842874,88,73.99,-20.01,57.66,1.12
307,podor,0,MR,1584842874,17,74.95,16.65,-14.96,11.65
308,khatanga,95,RU,1584842874,92,3.67,71.97,102.5,13.49
309,kangaatsiaq,91,GL,1584842874,83,9.97,68.31,-53.46,14.38
310,charters towers,2,AU,1584842874,46,87.19,-20.1,146.27,11.63
311,oistins,40,BB,1584842874,74,78.8,13.07,-59.53,18.34
312,djambala,100,CG,1584842875,97,67.03,-2.54,14.75,3.42
313,hobyo,30,SO,1584842765,78,80.89,5.35,48.53,6.17
314,chincha alta,40,PE,1584842875,78,75.2,-13.41,-76.13,6.93
315,abu zabad,85,SD,1584842875,13,71.71,12.35,29.25,11.25
316,bayburt,0,TR,1584842875,80,16.45,40.26,40.23,1.92
317,nong ki,0,TH,1584842875,83,89.01,14.69,102.54,4.7
318,yashkino,40,RU,1584842876,86,37.4,55.87,85.43,17.9
319,deputatskiy,12,RU,1584842876,93,2.41,69.3,139.9,3.42
320,juxtlahuaca,0,MX,1584842877,93,59.29,17.43,-99.15,5.97
321,kumphawapi,20,TH,1584842877,83,77.0,17.11,103.01,3.36
322,husavik,75,IS,1584842877,63,30.2,66.04,-17.34,35.57
323,douglas,1,US,1584842877,60,42.8,41.3,-96.17,10.29
324,wajima,75,JP,1584842877,100,51.8,37.4,136.9,13.87
325,moussoro,52,TD,1584842878,14,78.73,13.64,16.49,9.78
326,imbituba,20,BR,1584842878,88,69.8,-28.24,-48.67,3.36
327,rio verde de mato grosso,47,BR,1584842878,89,72.43,-18.92,-54.84,4.92
328,north aurora,1,US,1584842878,58,28.4,41.81,-88.33,9.17
329,ngunguru,50,NZ,1584842879,74,75.0,-35.62,174.5,5.01
330,karlskoga,0,SE,1584842750,79,28.4,59.33,14.52,4.7
331,cap malheureux,20,MU,1584842879,88,73.99,-19.98,57.61,1.12
332,erzin,0,TR,1584842879,58,53.6,36.96,36.2,6.93
333,trairi,90,BR,1584842749,95,73.33,-3.28,-39.27,1.79
334,port moresby,40,PG,1584842588,74,87.8,-9.44,147.18,2.24
335,tieling,67,CN,1584842879,31,45.25,42.29,123.84,6.42
336,vorontsovka,100,RU,1584842880,96,36.43,50.61,40.35,9.33
337,nanortalik,100,GL,1584842880,66,26.17,60.14,-45.24,19.13
338,havre-saint-pierre,1,CA,1584842880,46,8.6,50.23,-63.6,17.22
339,natal,20,BR,1584842746,88,77.0,-5.79,-35.21,3.36
340,faya,40,SA,1584842880,82,60.8,18.39,42.45,12.75
341,ponta do sol,20,PT,1584842880,62,55.99,32.67,-17.1,1.12
342,ostrovnoy,93,RU,1584842880,91,16.81,68.05,39.51,12.86
343,cherskiy,100,RU,1584842881,72,7.45,68.75,161.3,5.46
344,dunedin,66,NZ,1584842881,56,60.01,-45.87,170.5,18.99
345,lavrentiya,82,RU,1584842881,77,6.19,65.58,-171.0,7.2
346,dingle,78,PH,1584842881,55,87.91,11.0,122.67,11.12
